,2018,2019,2020,2021,2022,2023
Australia,3.1,3.3,3.2,3.3,3.2,
Austria,2.7,2.9,3.1,2.7,2.4,
Belgium,3.8,3.7,3.3,2.9,,
Canada,4.7,4.4,4.5,4.3,4.7,
Chile,6.6,6.5,5.6,5.8,5.9,
Colombia,17.3,17,16.8,16.5,,
Costa Rica,8.4,8.2,7.9,8.7,9.6,
Czechia,2.6,2.6,2.3,2.2,2.3,
Denmark,3,2.1,2.4,2.4,,
Estonia,1.6,1.6,1.4,2.2,2.3,
Finland,2.2,2,2,1.6,2,
France,3.8,3.8,3.6,3.7,3.9,
Germany,3.2,3.2,3.1,3,3.2,
Greece,3.5,3.7,3.2,3.5,3.1,
Hungary,3.3,3.6,3.4,3.3,3.6,3.1
Iceland,1.7,1.1,2.9,3.3,,
Ireland,2.9,2.8,3.1,3.3,3.3,
Israel,3,3,2.4,2.8,2.8,
Italy,2.8,2.4,2.4,2.3,,
Japan,1.9,1.9,1.8,1.7,1.8,
Korea,2.8,2.7,2.5,2.4,,
Latvia,3.2,3.4,3.5,2.7,2.4,
Lithuania,3.4,3.3,2.8,3.1,3,
Luxembourg,4.3,4.7,4.5,3.1,,
Mexico,12.9,13.1,12.3,12.7,,
Netherlands,3.5,3.6,3.8,3.3,,
New Zealand,4.3,,,,,
Norway,2.3,2,1.7,1.9,1.9,
Poland,3.8,3.8,3.6,3.9,3.8,
Portugal,3.3,2.8,2.4,2.4,2.6,2.5
Slovak Republic,5,5.1,5.1,4.9,5.4,
Slovenia,1.7,2.1,2.2,1.8,2.5,
Spain,2.7,2.6,2.6,2.5,2.6,
Sweden,2,2.1,2.4,1.8,,
Switzerland,3.3,3.3,3.6,3.1,3.8,3.2
Turkiye,9.2,9,8.5,9,9.1,
United Kingdom,3.9,4,3.8,4,,
United States,5.7,5.6,5.4,,,
Argentina,8.4,7.6,6.8,6.1,,
Brazil,13.1,13.3,12.2,12.5,,
Bulgaria,5.8,5.6,5.1,5.6,,
China (People Republic of),6.4,5.9,5.5,5.1,,
Croatia,4.2,4,4,3.8,,
India,29.8,28.3,26.8,25.5,,
Indonesia,20.8,20.1,19.5,18.9,,
Peru,11.9,11.6,11.3,11,,
Romania,5.8,5.5,5.3,5.2,5.7,
South Africa,27.8,27.3,26.9,26.4,,
Ukraine,7.4,7.3,7.1,7,,
